resolution,aspect_ratio,orientation,scale,output_width,output_height,target_width,target_height,expected_node_label
1K,2:3,Landscape,1.4,1376,912,1926,1277,OUTPUT 1376x912; TARGET 1926x1277
1K,2:3,Landscape,1.5,1280,848,1920,1272,OUTPUT 1280x848; TARGET 1920x1272
1K,2:3,Landscape,1.6,1200,800,1920,1280,OUTPUT 1200x800; TARGET 1920x1280
1K,2:3,Landscape,1.7,1136,752,1931,1278,OUTPUT 1136x752; TARGET 1931x1278
1K,2:3,Landscape,1.8,1072,704,1930,1267,OUTPUT 1072x704; TARGET 1930x1267
1K,2:3,Landscape,1.9,1008,672,1915,1277,OUTPUT 1008x672; TARGET 1915x1277
1K,2:3,Landscape,2.0,960,640,1920,1280,OUTPUT 960x640; TARGET 1920x1280
1K,2:3,Portrait,1.0,1280,1920,1280,1920,OUTPUT 1280x1920; TARGET 1280x1920
1K,2:3,Portrait,1.1,1168,1744,1285,1918,OUTPUT 1168x1744; TARGET 1285x1918
1K,2:3,Portrait,1.2,1072,1600,1286,1920,OUTPUT 1072x1600; TARGET 1286x1920
1K,2:3,Portrait,1.3,992,1472,1290,1914,OUTPUT 992x1472; TARGET 1290x1914
1K,2:3,Portrait,1.4,912,1376,1277,1926,OUTPUT 912x1376; TARGET 1277x1926
1K,2:3,Portrait,1.5,848,1280,1272,1920,OUTPUT 848x1280; TARGET 1272x1920
1K,2:3,Portrait,1.6,800,1200,1280,1920,OUTPUT 800x1200; TARGET 1280x1920
1K,2:3,Portrait,1.7,752,1136,1278,1931,OUTPUT 752x1136; TARGET 1278x1931
1K,2:3,Portrait,1.8,704,1072,1267,1930,OUTPUT 704x1072; TARGET 1267x1930
1K,2:3,Portrait,1.9,672,1008,1277,1915,OUTPUT 672x1008; TARGET 1277x1915
1K,2:3,Portrait,2.0,640,960,1280,1920,OUTPUT 640x960; TARGET 1280x1920
1K,3:4,Landscape,1.0,1920,1440,1920,1440,OUTPUT 1920x1440; TARGET 1920x1440
1K,3:4,Landscape,1.1,1744,1312,1918,1443,OUTPUT 1744x1312; TARGET 1918x1443
1K,3:4,Landscape,1.2,1600,1200,1920,1440,OUTPUT 1600x1200; TARGET 1920x1440
1K,3:4,Landscape,1.3,1472,1104,1914,1435,OUTPUT 1472x1104; TARGET 1914x1435
1K,3:4,Landscape,1.4,1376,1024,1926,1434,OUTPUT 1376x1024; TARGET 1926x1434
1K,3:4,Landscape,1.5,1280,960,1920,1440,OUTPUT 1280x960; TARGET 1920x1440
1K,3:4,Landscape,1.6,1200,896,1920,1434,OUTPUT 1200x896; TARGET 1920x1434
1K,3:4,Landscape,1.7,1136,848,1931,1442,OUTPUT 1136x848; TARGET 1931x1442
1K,3:4,Landscape,1.8,1072,800,1930,1440,OUTPUT 1072x800; TARGET 1930x1440
1K,3:4,Landscape,1.9,1008,752,1915,1429,OUTPUT 1008x752; TARGET 1915x1429
1K,3:4,Landscape,2.0,960,720,1920,1440,OUTPUT 960x720; TARGET 1920x1440
1K,3:4,Portrait,1.0,1440,1920,1440,1920,OUTPUT 1440x1920; TARGET 1440x1920
1K,3:4,Portrait,1.1,1312,1744,1443,1918,OUTPUT 1312x1744; TARGET 1443x1918
1K,3:4,Portrait,1.2,1200,1600,1440,1920,OUTPUT 1200x1600; TARGET 1440x1920
1K,3:4,Portrait,1.3,1104,1472,1435,1914,OUTPUT 1104x1472; TARGET 1435x1914
1K,3:4,Portrait,1.4,1024,1376,1434,1926,OUTPUT 1024x1376; TARGET 1434x1926
1K,3:4,Portrait,1.5,960,1280,1440,1920,OUTPUT 960x1280; TARGET 1440x1920
1K,3:4,Portrait,1.6,896,1200,1434,1920,OUTPUT 896x1200; TARGET 1434x1920
1K,3:4,Portrait,1.7,848,1136,1442,1931,OUTPUT 848x1136; TARGET 1442x1931
1K,3:4,Portrait,1.8,800,1072,1440,1930,OUTPUT 800x1072; TARGET 1440x1930
1K,3:4,Portrait,1.9,752,1008,1429,1915,OUTPUT 752x1008; TARGET 1429x1915
1K,3:4,Portrait,2.0,720,960,1440,1920,OUTPUT 720x960; TARGET 1440x1920
1K,16:9,Landscape,1.0,1920,1088,1920,1088,OUTPUT 1920x1088; TARGET 1920x1088
1K,16:9,Landscape,1.1,1744,976,1918,1074,OUTPUT 1744x976; TARGET 1918x1074
1K,16:9,Landscape,1.2,1600,896,1920,1075,OUTPUT 1600x896; TARGET 1920x1075
1K,16:9,Landscape,1.3,1472,832,1914,1082,OUTPUT 1472x832; TARGET 1914x1082
1K,16:9,Landscape,1.4,1376,768,1926,1075,OUTPUT 1376x768; TARGET 1926x1075
1K,16:9,Landscape,1.5,1280,720,1920,1080,OUTPUT 1280x720; TARGET 1920x1080
1K,16:9,Landscape,1.6,1200,672,1920,1075,OUTPUT 1200x672; TARGET 1920x1075
1K,16:9,Landscape,1.7,1136,640,1931,1088,OUTPUT 1136x640; TARGET 1931x1088
1K,16:9,Landscape,1.8,1072,608,1930,1094,OUTPUT 1072x608; TARGET 1930x1094
1K,16:9,Landscape,1.9,1008,576,1915,1094,OUTPUT 1008x576; TARGET 1915x1094
1K,16:9,Landscape,2.0,960,544,1920,1088,OUTPUT 960x544; TARGET 1920x1088
1K,16:9,Portrait,1.0,1088,1920,1088,1920,OUTPUT 1088x1920; TARGET 1088x1920
1K,16:9,Portrait,1.1,976,1744,1074,1918,OUTPUT 976x1744; TARGET 1074x1918
1K,16:9,Portrait,1.2,896,1600,1075,1920,OUTPUT 896x1600; TARGET 1075x1920
1K,16:9,Portrait,1.3,832,1472,1082,1914,OUTPUT 832x1472; TARGET 1082x1914
1K,16:9,Portrait,1.4,768,1376,1075,1926,OUTPUT 768x1376; TARGET 1075x1926
1K,16:9,Portrait,1.5,720,1280,1080,1920,OUTPUT 720x1280; TARGET 1080x1920
1K,16:9,Portrait,1.6,672,1200,1075,1920,OUTPUT 672x1200; TARGET 1075x1920
1K,16:9,Portrait,1.7,640,1136,1088,1931,OUTPUT 640x1136; TARGET 1088x1931
1K,16:9,Portrait,1.8,608,1072,1094,1930,OUTPUT 608x1072; TARGET 1094x1930
1K,16:9,Portrait,1.9,576,1008,1094,1915,OUTPUT 576x1008; TARGET 1094x1915
1K,16:9,Portrait,2.0,544,960,1088,1920,OUTPUT 544x960; TARGET 1088x1920
1K,21:9,Landscape,1.0,2560,1088,2560,1088,OUTPUT 2560x1088; TARGET 2560x1088
1K,21:9,Landscape,1.1,2320,992,2552,1091,OUTPUT 2320x992; TARGET 2552x1091
1K,21:9,Landscape,1.2,2128,912,2554,1094,OUTPUT 2128x912; TARGET 2554x1094
1K,21:9,Landscape,1.3,1968,832,2558,1082,OUTPUT 1968x832; TARGET 2558x1082
1K,21:9,Landscape,1.4,1824,784,2554,1098,OUTPUT 1824x784; TARGET 2554x1098
1K,21:9,Landscape,1.5,1712,720,2568,1080,OUTPUT 1712x720; TARGET 2568x1080
1K,21:9,Landscape,1.6,1600,672,2560,1075,OUTPUT 1600x672; TARGET 2560x1075
1K,21:9,Landscape,1.7,1504,640,2557,1088,OUTPUT 1504x640; TARGET 2557x1088
1K,21:9,Landscape,1.8,1424,608,2563,1094,OUTPUT 1424x608; TARGET 2563x1094
1K,21:9,Landscape,1.9,1344,576,2554,1094,OUTPUT 1344x576; TARGET 2554x1094
1K,21:9,Landscape,2.0,1280,544,2560,1088,OUTPUT 1280x544; TARGET 2560x1088
1K,21:9,Portrait,1.0,1088,2560,1088,2560,OUTPUT 1088x2560; TARGET 1088x2560
1K,21:9,Portrait,1.1,992,2320,1091,2552,OUTPUT 992x2320; TARGET 1091x2552
1K,21:9,Portrait,1.2,912,2128,1094,2554,OUTPUT 912x2128; TARGET 1094x2554
1K,21:9,Portrait,1.3,832,1968,1082,2558,OUTPUT 832x1968; TARGET 1082x2558
1K,21:9,Portrait,1.4,784,1824,1098,2554,OUTPUT 784x1824; TARGET 1098x2554
1K,21:9,Portrait,1.5,720,1712,1080,2568,OUTPUT 720x1712; TARGET 1080x2568
1K,21:9,Portrait,1.6,672,1600,1075,2560,OUTPUT 672x1600; TARGET 1075x2560
1K,21:9,Portrait,1.7,640,1504,1088,2557,OUTPUT 640x1504; TARGET 1088x2557
1K,21:9,Portrait,1.8,608,1424,1094,2563,OUTPUT 608x1424; TARGET 1094x2563
1K,21:9,Portrait,1.9,576,1344,1094,2554,OUTPUT 576x1344; TARGET 1094x2554
1K,21:9,Portrait,2.0,544,1280,1088,2560,OUTPUT 544x1280; TARGET 1088x2560
2K,1:1,Landscape,1.0,2048,2048,2048,2048,OUTPUT 2048x2048; TARGET 2048x2048
2K,1:1,Landscape,1.1,1856,1856,2042,2042,OUTPUT 1856x1856; TARGET 2042x2042
2K,1:1,Landscape,1.2,1712,1712,2054,2054,OUTPUT 1712x1712; TARGET 2054x2054
2K,1:1,Landscape,1.3,1568,1568,2038,2038,OUTPUT 1568x1568; TARGET 2038x2038
2K,1:1,Landscape,1.4,1456,1456,2038,2038,OUTPUT 1456x1456; TARGET 2038x2038
2K,1:1,Landscape,1.5,1360,1360,2040,2040,OUTPUT 1360x1360; TARGET 2040x2040
2K,1:1,Landscape,1.6,1280,1280,2048,2048,OUTPUT 1280x1280; TARGET 2048x2048
2K,1:1,Landscape,1.7,1200,1200,2040,2040,OUTPUT 1200x1200; TARGET 2040x2040
2K,1:1,Landscape,1.8,1136,1136,2045,2045,OUTPUT 1136x1136; TARGET 2045x2045
2K,1:1,Landscape,1.9,1072,1072,2037,2037,OUTPUT 1072x1072; TARGET 2037x2037
2K,1:1,Landscape,2.0,1024,1024,2048,2048,OUTPUT 1024x1024; TARGET 2048x2048
2K,1:1,Portrait,1.0,2048,2048,2048,2048,OUTPUT 2048x2048; TARGET 2048x2048
2K,1:1,Portrait,1.1,1856,1856,2042,2042,OUTPUT 1856x1856; TARGET 2042x2042
2K,1:1,Portrait,1.2,1712,1712,2054,2054,OUTPUT 1712x1712; TARGET 2054x2054
2K,1:1,Portrait,1.3,1568,1568,2038,2038,OUTPUT 1568x1568; TARGET 2038x2038
2K,1:1,Portrait,1.4,1456,1456,2038,2038,OUTPUT 1456x1456; TARGET 2038x2038
2K,1:1,Portrait,1.5,1360,1360,2040,2040,OUTPUT 1360x1360; TARGET 2040x2040
2K,1:1,Portrait,1.6,1280,1280,2048,2048,OUTPUT 1280x1280; TARGET 2048x2048
2K,1:1,Portrait,1.7,1200,1200,2040,2040,OUTPUT 1200x1200; TARGET 2040x2040
2K,1:1,Portrait,1.8,1136,1136,2045,2045,OUTPUT 1136x1136; TARGET 2045x2045
2K,1:1,Portrait,1.9,1072,1072,2037,2037,OUTPUT 1072x1072; TARGET 2037x2037
2K,1:1,Portrait,2.0,1024,1024,2048,2048,OUTPUT 1024x1024; TARGET 2048x2048
2K,2:3,Landscape,1.0,2560,1712,2560,1712,OUTPUT 2560x1712; TARGET 2560x1712
2K,2:3,Landscape,1.1,2320,1552,2552,1707,OUTPUT 2320x1552; TARGET 2552x1707
2K,2:3,Landscape,1.2,2128,1424,2554,1709,OUTPUT 2128x1424; TARGET 2554x1709
2K,2:3,Landscape,1.3,1968,1312,2558,1706,OUTPUT 1968x1312; TARGET 2558x1706
2K,2:3,Landscape,1.4,1824,1216,2554,1702,OUTPUT 1824x1216; TARGET 2554x1702
2K,2:3,Landscape,1.5,1712,1136,2568,1704,OUTPUT 1712x1136; TARGET 2568x1704
2K,2:3,Landscape,1.6,1600,1072,2560,1715,OUTPUT 1600x1072; TARGET 2560x1715
2K,2:3,Landscape,1.7,1504,1008,2557,1714,OUTPUT 1504x1008; TARGET 2557x1714
2K,2:3,Landscape,1.8,1424,944,2563,1699,OUTPUT 1424x944; TARGET 2563x1699
2K,2:3,Landscape,1.9,1344,896,2554,1702,OUTPUT 1344x896; TARGET 2554x1702
2K,2:3,Landscape,2.0,1280,864,2560,1728,OUTPUT 1280x864; TARGET 2560x1728
2K,2:3,Portrait,1.0,1712,2560,1712,2560,OUTPUT 1712x2560; TARGET 1712x2560
2K,2:3,Portrait,1.1,1552,2320,1707,2552,OUTPUT 1552x2320; TARGET 1707x2552
2K,2:3,Portrait,1.2,1424,2128,1709,2554,OUTPUT 1424x2128; TARGET 1709x2554
2K,2:3,Portrait,1.3,1312,1968,1706,2558,OUTPUT 1312x1968; TARGET 1706x2558
2K,2:3,Portrait,1.4,1216,1824,1702,2554,OUTPUT 1216x1824; TARGET 1702x2554
2K,2:3,Portrait,1.5,1136,1712,1704,2568,OUTPUT 1136x1712; TARGET 1704x2568
2K,2:3,Portrait,1.6,1072,1600,1715,2560,OUTPUT 1072x1600; TARGET 1715x2560
2K,2:3,Portrait,1.7,1008,1504,1714,2557,OUTPUT 1008x1504; TARGET 1714x2557
2K,2:3,Portrait,1.8,944,1424,1699,2563,OUTPUT 944x1424; TARGET 1699x2563
2K,2:3,Portrait,1.9,896,1344,1702,2554,OUTPUT 896x1344; TARGET 1702x2554
2K,2:3,Portrait,2.0,864,1280,1728,2560,OUTPUT 864x1280; TARGET 1728x2560
2K,3:4,Landscape,1.0,2560,1920,2560,1920,OUTPUT 2560x1920; TARGET 2560x1920
2K,3:4,Landscape,1.1,2320,1744,2552,1918,OUTPUT 2320x1744; TARGET 2552x1918
2K,3:4,Landscape,1.2,2128,1600,2554,1920,OUTPUT 2128x1600; TARGET 2554x1920
2K,3:4,Landscape,1.3,1968,1472,2558,1914,OUTPUT 1968x1472; TARGET 2558x1914
2K,3:4,Landscape,1.4,1824,1376,2554,1926,OUTPUT 1824x1376; TARGET 2554x1926
2K,3:4,Landscape,1.5,1712,1280,2568,1920,OUTPUT 1712x1280; TARGET 2568x1920
2K,3:4,Landscape,1.6,1600,1200,2560,1920,OUTPUT 1600x1200; TARGET 2560x1920
2K,3:4,Landscape,1.7,1504,1136,2557,1931,OUTPUT 1504x1136; TARGET 2557x1931
2K,3:4,Landscape,1.8,1424,1072,2563,1930,OUTPUT 1424x1072; TARGET 2563x1930
2K,3:4,Landscape,1.9,1344,1008,2554,1915,OUTPUT 1344x1008; TARGET 2554x1915
2K,3:4,Landscape,2.0,1280,960,2560,1920,OUTPUT 1280x960; TARGET 2560x1920
2K,3:4,Portrait,1.0,1920,2560,1920,2560,OUTPUT 1920x2560; TARGET 1920x2560
2K,3:4,Portrait,1.1,1744,2320,1918,2552,OUTPUT 1744x2320; TARGET 1918x2552
2K,3:4,Portrait,1.2,1600,2128,1920,2554,OUTPUT 1600x2128; TARGET 1920x2554
2K,3:4,Portrait,1.3,1472,1968,1914,2558,OUTPUT 1472x1968; TARGET 1914x2558
2K,3:4,Portrait,1.4,1376,1824,1926,2554,OUTPUT 1376x1824; TARGET 1926x2554
2K,3:4,Portrait,1.5,1280,1712,1920,2568,OUTPUT 1280x1712; TARGET 1920x2568
2K,3:4,Portrait,1.6,1200,1600,1920,2560,OUTPUT 1200x1600; TARGET 1920x2560
2K,3:4,Portrait,1.7,1136,1504,1931,2557,OUTPUT 1136x1504; TARGET 1931x2557
2K,3:4,Portrait,1.8,1072,1424,1930,2563,OUTPUT 1072x1424; TARGET 1930x2563
2K,3:4,Portrait,1.9,1008,1344,1915,2554,OUTPUT 1008x1344; TARGET 1915x2554
2K,3:4,Portrait,2.0,960,1280,1920,2560,OUTPUT 960x1280; TARGET 1920x2560
2K,16:9,Landscape,1.0,2560,1440,2560,1440,OUTPUT 2560x1440; TARGET 2560x1440
2K,16:9,Landscape,1.1,2320,1312,2552,1443,OUTPUT 2320x1312; TARGET 2552x1443
2K,16:9,Landscape,1.2,2128,1200,2554,1440,OUTPUT 2128x1200; TARGET 2554x1440
2K,16:9,Landscape,1.3,1968,1104,2558,1435,OUTPUT 1968x1104; TARGET 2558x1435
2K,16:9,Landscape,1.4,1824,1024,2554,1434,OUTPUT 1824x1024; TARGET 2554x1434
2K,16:9,Landscape,1.5,1712,960,2568,1440,OUTPUT 1712x960; TARGET 2568x1440
2K,16:9,Landscape,1.6,1600,896,2560,1434,OUTPUT 1600x896; TARGET 2560x1434
2K,16:9,Landscape,1.7,1504,848,2557,1442,OUTPUT 1504x848; TARGET 2557x1442
2K,16:9,Landscape,1.8,1424,800,2563,1440,OUTPUT 1424x800; TARGET 2563x1440
2K,16:9,Landscape,1.9,1344,752,2554,1429,OUTPUT 1344x752; TARGET 2554x1429
2K,16:9,Landscape,2.0,1280,720,2560,1440,OUTPUT 1280x720; TARGET 2560x1440
2K,16:9,Portrait,1.0,1440,2560,1440,2560,OUTPUT 1440x2560; TARGET 1440x2560
2K,16:9,Portrait,1.1,1312,2320,1443,2552,OUTPUT 1312x2320; TARGET 1443x2552
2K,16:9,Portrait,1.2,1200,2128,1440,2554,OUTPUT 1200x2128; TARGET 1440x2554
2K,16:9,Portrait,1.3,1104,1968,1435,2558,OUTPUT 1104x1968; TARGET 1435x2558
2K,16:9,Portrait,1.4,1024,1824,1434,2554,OUTPUT 1024x1824; TARGET 1434x2554
2K,16:9,Portrait,1.5,960,1712,1440,2568,OUTPUT 960x1712; TARGET 1440x2568
2K,16:9,Portrait,1.6,896,1600,1434,2560,OUTPUT 896x1600; TARGET 1434x2560
2K,16:9,Portrait,1.7,848,1504,1442,2557,OUTPUT 848x1504; TARGET 1442x2557
2K,16:9,Portrait,1.8,800,1424,1440,2563,OUTPUT 800x1424; TARGET 1440x2563
2K,16:9,Portrait,1.9,752,1344,1429,2554,OUTPUT 752x1344; TARGET 1429x2554
2K,16:9,Portrait,2.0,720,1280,1440,2560,OUTPUT 720x1280; TARGET 1440x2560
2K,21:9,Landscape,1.0,3440,1440,3440,1440,OUTPUT 3440x1440; TARGET 3440x1440
2K,21:9,Landscape,1.1,3120,1312,3432,1443,OUTPUT 3120x1312; TARGET 3432x1443
2K,21:9,Landscape,1.2,2864,1200,3437,1440,OUTPUT 2864x1200; TARGET 3437x1440
2K,21:9,Landscape,1.3,2640,1104,3432,1435,OUTPUT 2640x1104; TARGET 3432x1435
2K,21:9,Landscape,1.4,2464,1024,3450,1434,OUTPUT 2464x1024; TARGET 3450x1434
2K,21:9,Landscape,1.5,2288,960,3432,1440,OUTPUT 2288x960; TARGET 3432x1440
2K,21:9,Landscape,1.6,2144,896,3430,1434,OUTPUT 2144x896; TARGET 3430x1434
2K,21:9,Landscape,1.7,2016,848,3427,1442,OUTPUT 2016x848; TARGET 3427x1442
2K,21:9,Landscape,1.8,1904,800,3427,1440,OUTPUT 1904x800; TARGET 3427x1440
2K,21:9,Landscape,1.9,1808,752,3435,1429,OUTPUT 1808x752; TARGET 3435x1429
2K,21:9,Landscape,2.0,1728,720,3456,1440,OUTPUT 1728x720; TARGET 3456x1440
2K,21:9,Portrait,1.0,1440,3440,1440,3440,OUTPUT 1440x3440; TARGET 1440x3440
2K,21:9,Portrait,1.1,1312,3120,1443,3432,OUTPUT 1312x3120; TARGET 1443x3432
2K,21:9,Portrait,1.2,1200,2864,1440,3437,OUTPUT 1200x2864; TARGET 1440x3437
2K,21:9,Portrait,1.3,1104,2640,1435,3432,OUTPUT 1104x2640; TARGET 1435x3432
2K,21:9,Portrait,1.4,1024,2464,1434,3450,OUTPUT 1024x2464; TARGET 1434x3450
2K,21:9,Portrait,1.5,960,2288,1440,3432,OUTPUT 960x2288; TARGET 1440x3432
2K,21:9,Portrait,1.6,896,2144,1434,3430,OUTPUT 896x2144; TARGET 1434x3430
2K,21:9,Portrait,1.7,848,2016,1442,3427,OUTPUT 848x2016; TARGET 1442x3427
2K,21:9,Portrait,1.8,800,1904,1440,3427,OUTPUT 800x1904; TARGET 1440x3427
2K,21:9,Portrait,1.9,752,1808,1429,3435,OUTPUT 752x1808; TARGET 1429x3435
2K,21:9,Portrait,2.0,720,1728,1440,3456,OUTPUT 720x1728; TARGET 1440x3456
4K,1:1,Landscape,1.0,2160,2160,2160,2160,OUTPUT 2160x2160; TARGET 2160x2160
4K,1:1,Landscape,1.1,1968,1968,2165,2165,OUTPUT 1968x1968; TARGET 2165x2165
4K,1:1,Landscape,1.2,1792,1792,2150,2150,OUTPUT 1792x1792; TARGET 2150x2150
4K,1:1,Landscape,1.3,1664,1664,2163,2163,OUTPUT 1664x1664; TARGET 2163x2163
4K,1:1,Landscape,1.4,1536,1536,2150,2150,OUTPUT 1536x1536; TARGET 2150x2150
4K,1:1,Landscape,1.5,1440,1440,2160,2160,OUTPUT 1440x1440; TARGET 2160x2160
4K,1:1,Landscape,1.6,1344,1344,2150,2150,OUTPUT 1344x1344; TARGET 2150x2150
4K,1:1,Landscape,1.7,1264,1264,2149,2149,OUTPUT 1264x1264; TARGET 2149x2149
4K,1:1,Landscape,1.8,1200,1200,2160,2160,OUTPUT 1200x1200; TARGET 2160x2160
4K,1:1,Landscape,1.9,1136,1136,2158,2158,OUTPUT 1136x1136; TARGET 2158x2158
4K,1:1,Landscape,2.0,1088,1088,2176,2176,OUTPUT 1088x1088; TARGET 2176x2176
4K,1:1,Portrait,1.0,2160,2160,2160,2160,OUTPUT 2160x2160; TARGET 2160x2160
4K,1:1,Portrait,1.1,1968,1968,2165,2165,OUTPUT 1968x1968; TARGET 2165x2165
4K,1:1,Portrait,1.2,1792,1792,2150,2150,OUTPUT 1792x1792; TARGET 2150x2150
4K,1:1,Portrait,1.3,1664,1664,2163,2163,OUTPUT 1664x1664; TARGET 2163x2163
4K,1:1,Portrait,1.4,1536,1536,2150,2150,OUTPUT 1536x1536; TARGET 2150x2150
4K,1:1,Portrait,1.5,1440,1440,2160,2160,OUTPUT 1440x1440; TARGET 2160x2160
4K,1:1,Portrait,1.6,1344,1344,2150,2150,OUTPUT 1344x1344; TARGET 2150x2150
4K,1:1,Portrait,1.7,1264,1264,2149,2149,OUTPUT 1264x1264; TARGET 2149x2149
4K,1:1,Portrait,1.8,1200,1200,2160,2160,OUTPUT 1200x1200; TARGET 2160x2160
4K,1:1,Portrait,1.9,1136,1136,2158,2158,OUTPUT 1136x1136; TARGET 2158x2158
4K,1:1,Portrait,2.0,1088,1088,2176,2176,OUTPUT 1088x1088; TARGET 2176x2176
4K,2:3,Landscape,1.0,3840,2560,3840,2560,OUTPUT 3840x2560; TARGET 3840x2560
4K,2:3,Landscape,1.1,3488,2320,3837,2552,OUTPUT 3488x2320; TARGET 3837x2552
4K,2:3,Landscape,1.2,3200,2128,3840,2554,OUTPUT 3200x2128; TARGET 3840x2554
4K,2:3,Landscape,1.3,2960,1968,3848,2558,OUTPUT 2960x1968; TARGET 3848x2558
4K,2:3,Landscape,1.4,2736,1824,3830,2554,OUTPUT 2736x1824; TARGET 3830x2554
4K,2:3,Landscape,1.5,2560,1712,3840,2568,OUTPUT 2560x1712; TARGET 3840x2568
4K,2:3,Landscape,1.6,2400,1600,3840,2560,OUTPUT 2400x1600; TARGET 3840x2560
4K,2:3,Landscape,1.7,2256,1504,3835,2557,OUTPUT 2256x1504; TARGET 3835x2557
4K,2:3,Landscape,1.8,2128,1424,3830,2563,OUTPUT 2128x1424; TARGET 3830x2563
4K,2:3,Landscape,1.9,2016,1344,3830,2554,OUTPUT 2016x1344; TARGET 3830x2554
4K,2:3,Landscape,2.0,1920,1280,3840,2560,OUTPUT 1920x1280; TARGET 3840x2560
4K,2:3,Portrait,1.0,2560,3840,2560,3840,OUTPUT 2560x3840; TARGET 2560x3840
4K,2:3,Portrait,1.1,2320,3488,2552,3837,OUTPUT 2320x3488; TARGET 2552x3837
4K,2:3,Portrait,1.2,2128,3200,2554,3840,OUTPUT 2128x3200; TARGET 2554x3840
4K,2:3,Portrait,1.3,1968,2960,2558,3848,OUTPUT 1968x2960; TARGET 2558x3848
4K,2:3,Portrait,1.4,1824,2736,2554,3830,OUTPUT 1824x2736; TARGET 2554x3830
4K,2:3,Portrait,1.5,1712,2560,2568,3840,OUTPUT 1712x2560; TARGET 2568x3840
4K,2:3,Portrait,1.6,1600,2400,2560,3840,OUTPUT 1600x2400; TARGET 2560x3840
4K,2:3,Portrait,1.7,1504,2256,2557,3835,OUTPUT 1504x2256; TARGET 2557x3835
4K,2:3,Portrait,1.8,1424,2128,2563,3830,OUTPUT 1424x2128; TARGET 2563x3830
4K,2:3,Portrait,1.9,1344,2016,2554,3830,OUTPUT 1344x2016; TARGET 2554x3830
4K,2:3,Portrait,2.0,1280,1920,2560,3840,OUTPUT 1280x1920; TARGET 2560x3840
4K,3:4,Landscape,1.0,3840,2880,3840,2880,OUTPUT 3840x2880; TARGET 3840x2880
4K,3:4,Landscape,1.1,3488,2624,3837,2886,OUTPUT 3488x2624; TARGET 3837x2886
4K,3:4,Landscape,1.2,3200,2400,3840,2880,OUTPUT 3200x2400; TARGET 3840x2880
4K,3:4,Landscape,1.3,2960,2208,3848,2870,OUTPUT 2960x2208; TARGET 3848x2870
4K,3:4,Landscape,1.4,2736,2064,3830,2890,OUTPUT 2736x2064; TARGET 3830x2890
4K,3:4,Landscape,1.5,2560,1920,3840,2880,OUTPUT 2560x1920; TARGET 3840x2880
4K,3:4,Landscape,1.6,2400,1792,3840,2867,OUTPUT 2400x1792; TARGET 3840x2867
4K,3:4,Landscape,1.7,2256,1696,3835,2883,OUTPUT 2256x1696; TARGET 3835x2883
4K,3:4,Landscape,1.8,2128,1600,3830,2880,OUTPUT 2128x1600; TARGET 3830x2880
